Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10u","C_0805_2012Metric",182.600000,-124.000000,-90.000000,top
"C2","10u","C_0805_2012Metric",184.700000,-124.000000,-90.000000,top
"C4","2u2","C_0805_2012Metric",112.500000,-74.500000,180.000000,top
"C5","2u2","C_0805_2012Metric",179.700000,-139.700000,90.000000,top
"C6","10u","C_0805_2012Metric",183.200000,-130.700000,0.000000,top
"C7","10u","C_0805_2012Metric",179.600000,-130.700000,180.000000,top
"C8","10u","C_0805_2012Metric",194.300000,-128.200000,90.000000,top
"C9","10u","C_0805_2012Metric",142.400000,-107.535000,-90.000000,top
"D1","LED","LED_0805_2012Metric",140.500000,-86.000000,0.000000,top
"D2","LED","LED_0805_2012Metric",140.500000,-88.000000,0.000000,top
"D3","LED","LED_0805_2012Metric",140.500000,-90.000000,0.000000,top
"D4","LED","LED_0805_2012Metric",140.500000,-92.000000,0.000000,top
"H4","SMTSO2020CTJ","SMTSO20",138.400000,-100.100000,0.000000,top
"H5","SMTSO2020CTJ","SMTSO20",120.400000,-100.100000,0.000000,top
"H6","SMTSO2020CTJ","SMTSO20",100.400000,-100.100000,0.000000,top
"J2","MOLEX 104031-0811","MOLEX_1040310811",113.750000,-67.000000,90.000000,top
"J3","Conn_01x40_MountingPin","FPC-SMD_AFC07-S40FCC00",199.500000,-138.550000,90.000000,top
"J4","Conn_01x15_MountingPin","FPC-SMD_15P-P1.00_JS_AFA07-S15XXX",123.800000,-87.250000,180.000000,top
"L1","2u2","IND-SMD_L4.4-W4.2",181.400000,-134.700000,-90.000000,top
"Module1A","ComputeModule4-CM4","Raspberry-Pi-4-Compute-Module",176.500000,-85.540000,90.000000,top
"Module1B","ComputeModule4-CM4","Raspberry-Pi-4-Compute-Module",176.500000,-119.460000,90.000000,top
"R1","2k2","R_0603_1608Metric",144.000000,-86.000000,180.000000,top
"R2","2k2","R_0603_1608Metric",144.000000,-88.000000,180.000000,top
"R3","2k2","R_0603_1608Metric",144.000000,-90.000000,180.000000,top
"R4","2k2","R_0603_1608Metric",144.000000,-92.000000,180.000000,top
"R5","4k7","R_0603_1608Metric",180.500000,-124.000000,-90.000000,top
"R6","4k7","R_0603_1608Metric",178.800000,-124.000000,-90.000000,top
"R7","22k","R_0603_1608Metric",185.000000,-139.700000,-90.000000,top
"R8","4k7","R_0603_1608Metric",185.000000,-136.500000,90.000000,top
"U1","TLV62569DBV","SOT-23-5",182.400000,-139.700000,-90.000000,top
